frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
196,6.0,[481.3008340028572 694.4953395397972 840.7826739750141 972.5993840317808],[610.7501831054688 870.4815673828125 711.1494750976562 914.0123291015625],0.6418623328208923,GX15OCJ,0.44533391382290355
197,6.0,[480.90795705678204 695.7480727588965 840.8104639799495 973.8075395037537],[610.7945556640625 870.4799194335938 711.1395263671875 914.0051879882812],0.641493022441864,GX15OCJ,0.44533391382290355
198,6.0,[478.97289734634364 698.8291203867368 839.8956140553819 977.8233678791089],[602.67138671875 875.3485107421875 713.970947265625 919.1451416015625],0.46764466166496277,GX15OGJ,0.6765328627235256
199,6.0,[478.11725366814665 699.822071539376 839.7614204386344 979.492481123057],[602.5903930664062 875.3516235351562 714.031494140625 919.1559448242188],0.4696754217147827,GX15OGJ,0.6765328627235256
200,6.0,[477.7058045995872 702.4452600396082 838.8821701934751 980.8237177242295],[599.219482421875 872.9664916992188 712.3323364257812 919.1152954101562],0.5747752785682678,GX15OGJ,0.4104661992682106
201,6.0,[477.4762955381053 703.6626980267287 838.145764828393 981.1178710205833],[599.30419921875 872.962890625 712.34912109375 919.0836791992188],0.5772850513458252,GX15OGJ,0.4104661992682106
202,6.0,[476.25160205777087 705.5868001776507 838.1857142542312 984.9098416841639],[601.3311767578125 882.9065551757812 706.4560546875 924.6557006835938],0.572750449180603,GY15OGJ,0.2568360165891613
203,6.0,[475.5863030035343 705.9938816525801 838.371246722536 986.6344785255669],[601.2830810546875 882.89208984375 706.470947265625 924.6815185546875],0.5728507041931152,GY15OGJ,0.2568360165891613
208,1.0,[1027.5235499498801 553.0977068530215 1280.240567601956 774.6299819407757],[1113.3482666015625 686.4410400390625 1213.7574462890625 731.5415649414062],0.40318742394447327,AP05JEO,0.2559081934818757
209,1.0,[1026.9210909576022 553.6626286384543 1279.8499555050016 775.0319604994435],[1112.2117919921875 684.873046875 1215.2364501953125 732.1881103515625],0.4032953083515167,AP05JEO,0.250165425544473
216,6.0,[467.3482276711913 729.5550189231609 833.2085975877026 1015.8580533318963],[596.970947265625 908.6167602539062 697.2110595703125 951.2129516601562],0.5640488266944885,GX15OGJ,0.13856586897025686
217,6.0,[466.40911545621066 730.6843646761182 832.9901353679538 1017.8376883716493],[596.7371215820312 908.7276000976562 697.3316040039062 951.4288940429688],0.5701296925544739,GX15OGJ,0.22022961339131758
218,6.0,[465.95168743690283 731.3579584813747 832.2246221493681 1020.1265481808578],[583.5830688476562 908.0853881835938 696.6769409179688 956.2904663085938],0.6049143671989441,GZ15OCJ,0.18365181999613056
219,6.0,[465.84229714576975 731.2693807743062 831.8879880429175 1021.2213254688372],[583.5847778320312 908.0902099609375 696.6673583984375 956.2908935546875],0.6051546931266785,GZ15OCJ,0.18365181999613056
