frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
327,1,1030.434796528982 664.5736544446379 1341.0836311394235 930.3067174478267,1136.2713623046875 827.0731201171875 1248.7999267578125 871.3165283203125,0.37650227546691895,AP05JEO,0.21775267117371178
328,1,1031.1190771844308 666.0531277541459 1341.5742322273504 933.1064886710458,1139.604248046875 829.177734375 1253.6539306640625 877.0869140625,0.5329126119613647,AP05JEO,0.6792245490267578
329,1,1031.6512116044332 666.2681802495159 1341.677079952312 934.1722883127383,1139.6558837890625 829.2185668945312 1253.6641845703125 877.0387573242188,0.5318114161491394,AP05JEO,0.6792245490267578
330,1,1033.2278569279067 668.2340770255298 1342.1041371277763 938.0287432648529,1139.984619140625 834.2015991210938 1259.4404296875 875.6925659179688,0.5445541143417358,AP05JEO,0.8361604737018938
331,1,1034.044918950436 668.5590595937368 1342.0773624986327 939.773212839225,1140.7781982421875 834.7525634765625 1260.0450439453125 876.41455078125,0.5448547005653381,AP05JEO,0.43630214936636447
332,1,1032.3703861403055 670.5746385643208 1340.7332890341936 941.8708018868886,1144.0313720703125 839.472900390625 1246.6151123046875 877.3110961914062,0.3462386131286621,AP05JEQ,0.3382240578719178
333,1,1031.49855750154 671.1890145686064 1340.177392392926 942.3848817714008,1144.070556640625 839.478759765625 1247.255126953125 877.3026733398438,0.34646230936050415,AP05JEQ,0.3382240578719178
334,1,1030.6933706085492 673.8255091325535 1340.821749055684 945.0110112896385,1148.361083984375 841.3646850585938 1243.1597900390625 879.1056518554688,0.4264683127403259,AP05JEO,0.9225004642669872
335,1,1030.194988490661 674.8323321668834 1341.35981790426 946.0169665660783,1157.588134765625 838.94189453125 1262.83349609375 883.1701049804688,0.3145652115345001,AP05JEO,0.9311369903483749
336,1,1030.7714509598227 676.1760983534431 1342.1490565386987 947.3372489591948,1156.4266086154514 840.5106133355034 1263.121609157986 885.0306939019097,0,0,0
337,1,1031.3479134289846 677.5198645400027 1342.9382951731372 948.6575313523113,1155.2650824652778 842.079332139757 1263.4097222222222 886.8912828233507,0,0,0
338,1,1031.9243758981463 678.8636307265624 1343.727533807576 949.9778137454276,1154.1035563151042 843.6480509440104 1263.6978352864583 888.7518717447916,0,0,0
339,1,1032.500838367308 680.2073969131221 1344.5167724420146 951.2980961385441,1152.9420301649307 845.2167697482639 1263.9859483506943 890.6124606662327,0,0,0
340,1,1033.07730083647 681.5511630996817 1345.3060110764534 952.6183785316606,1151.7805040147568 846.7854885525173 1264.2740614149307 892.4730495876736,0,0,0
341,1,1033.6537633056316 682.8949292862414 1346.095249710892 953.9386609247771,1150.6189778645833 848.3542073567709 1264.5621744791667 894.3336385091146,0,0,0
342,1,1034.2302257747933 684.2386954728012 1346.8844883453307 955.2589433178935,1149.4574517144097 849.9229261610243 1264.8502875434028 896.1942274305555,0,0,0
343,1,1034.8066882439553 685.5824616593608 1347.6737269797693 956.5792257110099,1148.295925564236 851.4916449652778 1265.138400607639 898.0548163519966,0,0,0
344,1,1035.383150713117 686.9262278459205 1348.462965614208 957.8995081041264,1147.1343994140625 853.0603637695312 1265.426513671875 899.9154052734375,0.5749420523643494,AP05JEO,0.3372179389898203
345,1,1032.5799172575778 687.5543578688921 1348.9498505117251 958.9926988023662,1147.160888671875 853.0717163085938 1265.4078369140625 899.9104614257812,0.574307382106781,AP05JEO,0.3372179389898203
346,1,1038.3047128259343 689.4135367074109 1353.6828513390394 961.683483665221,1147.0667724609375 860.750244140625 1257.893310546875 902.003173828125,0.48247429728507996,AF05JEQ,0.04526632071792702
347,1,1040.7693190410253 689.9109567331329 1355.3730843408428 962.7725886282265,1147.0938720703125 860.7609252929688 1257.9554443359375 902.0025024414062,0.48253363370895386,AF05JEQ,0.04526632071792702
348,1,1042.0514643086615 692.4090458031469 1355.5850237576813 965.426718393692,1152.165283203125 864.9126586914062 1267.74072265625 906.1214599609375,0.4382960796356201,AF05JEQ,0.43752386048587066
349,1,1042.8402936724333 693.3871508861314 1355.5674807805035 966.510879693974,1149.8634033203125 865.0057983398438 1267.254150390625 906.3059692382812,0.44749152660369873,AF05JEO,0.6107972979109921
350,1,1041.5577671052622 696.1992559704698 1354.9951068816038 969.191848357177,1148.6317138671875 862.7318725585938 1259.0223388671875 907.0752563476562,0.3664330542087555,AP05JEO,0.2363211194623609
351,1,1041.5967965280388 697.1775488450426 1355.323689188022 970.0747225819025,1156.1220703125 863.9007568359375 1265.2646484375 909.4661865234375,0.3565126061439514,AF05JEO,0.44058054303488053
352,1,1042.226374316465 699.1799231063987 1356.198968463214 972.2721818776824,1152.9964599609375 866.3516235351562 1257.218017578125 911.2001342773438,0,0,0
353,1,1042.8559521048912 701.1822973677549 1357.0742477384063 974.4696411734624,1149.870849609375 868.802490234375 1249.17138671875 912.93408203125,0,0,0
354,1,1043.4855298933173 703.1846716291111 1357.9495270135983 976.6671004692423,1146.7452392578125 871.2533569335938 1241.124755859375 914.6680297851562,0.49930596351623535,AP05JEC,0.35423239598509876
355,1,1044.5347535805543 703.9963311338244 1359.3786410914502 978.1210942906142,1146.6943359375 871.1870727539062 1240.7801513671875 914.678466796875,0.4978437125682831,AP05JEC,0.3667309373820009
356,1,1044.443413873798 705.0857419796945 1361.0127736275124 979.9253000993122,1146.1931559244792 872.9091186523438 1253.0364990234375 917.7339477539062,0,0,0
357,1,1044.3520741670416 706.1751528255647 1362.6469061635748 981.7295059080101,1145.6919759114583 874.6311645507812 1265.2928466796875 920.7894287109375,0,0,0
358,1,1044.2607344602852 707.2645636714349 1364.281038699637 983.533711716708,1145.1907958984375 876.3532104492188 1277.5491943359375 923.8449096679688,0.4077489674091339,AP05JEO,0.2191822812621436
359,1,1044.0834879457009 707.6730136107294 1364.9865074608845 984.6348507098821,1145.2254638671875 876.3900146484375 1277.5242919921875 923.7888793945312,0.4026215076446533,AP05JEO,0.2191822812621436
360,1,1045.2965013810526 709.9391552701194 1365.9546008475409 988.0764575540874,1149.4134521484375 884.3873291015625 1276.609130859375 929.3120727539062,0.3352603316307068,AP05JEO,0.554160916514504
361,1,1045.712856764174 710.6019791059582 1366.2307515631983 989.6675818098358,1149.4774169921875 884.3763427734375 1276.5899658203125 929.315185546875,0.33169037103652954,AP05JEO,0.554160916514504
362,1,1045.9207655924417 712.3964852360441 1367.2059828371941 992.2768747469099,1159.3016357421875 888.3316040039062 1272.0089111328125 928.8396606445312,0.48562872409820557,AP05JEO,0.24165398569470786
363,1,1045.8889356869481 712.8888389784511 1367.7168904824912 993.3508069552277,1159.32177734375 888.34423828125 1271.9385986328125 928.8255615234375,0.4838591516017914,AP05JEO,0.24165398569470786
364,1,1045.375526936465 713.6059121584951 1369.6107945500792 994.8514389875745,1173.9111328125 889.179443359375 1285.0968017578125 931.674560546875,0.29613879323005676,AP05JEO,0.5943211064978502
365,1,1044.774921479346 713.7295053692642 1370.832556548429 995.5844340664041,1174.2232666015625 889.2068481445312 1285.0687255859375 931.6565551757812,0.29561522603034973,AP05JEO,0.416933997849682
